1650284900   Words were given.
Words:  nhbutg7g8uj8uh7tf6esedfuj , buyniuhutg7tfg7yh9ju9ik0
1650284900   Vector created.
1650284900   0 0  skip 
1650284900   0 0  value: 0
1650284900   1 0  skip 
1650284900   1 0  value: 1
1650284900   0 1  skip 
1650284900   0 1  value: 1
1650284900   2 0  skip 
1650284900   2 0  value: 2
1650284900   1 1  skip 
1650284900   1 1  value: 1
1650284900   0 2  skip 
1650284900   0 2  value: 2
1650284900   3 0  skip 
1650284900   3 0  value: 3
1650284900   2 1  skip 
1650284900   2 1  value: 2
1650284900   1 2  skip 
1650284900   1 2  value: 2
1650284900   0 3  skip 
1650284900   0 3  value: 3
1650284900   4 0  skip 
1650284900   4 0  value: 4
1650284900   3 1  skip 
1650284900   3 1  value: 2
1650284900   2 2  skip 
1650284900   2 2  value: 2
1650284900   1 3  skip 
1650284900   1 3  value: 3
1650284900   0 4  skip 
1650284900   0 4  value: 4
1650284900   5 0  skip 
1650284900   5 0  value: 5
1650284900   4 1  skip 
1650284900   4 1  value: 3
1650284900   3 2  skip 
1650284900   3 2  value: 3
1650284900   2 3  skip 
1650284900   2 3  value: 3
1650284900   1 4  skip 
1650284900   1 4  value: 3
1650284900   0 5  skip 
1650284900   0 5  value: 5
1650284900   6 0  skip 
1650284900   6 0  value: 6
1650284900   5 1  skip 
1650284900   5 1  value: 4
1650284900   4 2  skip 
1650284900   4 2  value: 2
1650284900   3 3  skip 
1650284900   3 3  value: 3
1650284900   2 4  skip 
1650284900   2 4  value: 4
1650284900   1 5  skip 
1650284900   1 5  value: 4
1650284900   0 6  skip 
1650284900   0 6  value: 6
1650284900   7 0  skip 
1650284900   7 0  value: 7
1650284900   6 1  skip 
1650284900   6 1  value: 5
1650284900   5 2  skip 
1650284900   5 2  value: 3
1650284900   4 3  skip 
1650284900   4 3  value: 3
1650284900   3 4  skip 
1650284900   3 4  value: 4
1650284900   2 5  skip 
1650284900   2 5  value: 4
1650284900   1 6  skip 
1650284900   1 6  value: 5
1650284900   0 7  skip 
1650284900   0 7  value: 7
1650284900   8 0  skip 
1650284900   8 0  value: 8
1650284900   7 1  skip 
1650284900   7 1  value: 6
1650284900   6 2  skip 
1650284900   6 2  value: 4
1650284900   5 3  skip 
1650284900   5 3  value: 3
1650284900   4 4  skip 
1650284900   4 4  value: 4
1650284900   3 5  skip 
1650284900   3 5  value: 5
1650284900   2 6  skip 
1650284900   2 6  value: 5
1650284900   1 7  skip 
1650284900   1 7  value: 6
1650284900   0 8  skip 
1650284900   0 8  value: 8
1650284900   9 0  skip 
1650284900   9 0  value: 9
1650284900   8 1  skip 
1650284900   8 1  value: 7
1650284900   7 2  skip 
1650284900   7 2  value: 5
1650284900   6 3  skip 
1650284900   6 3  value: 4
1650284900   5 4  skip 
1650284900   5 4  value: 4
1650284900   4 5  skip 
1650284900   4 5  value: 5
1650284900   3 6  skip 
1650284900   3 6  value: 5
1650284900   2 7  skip 
1650284900   2 7  value: 5
1650284900   1 8  skip 
1650284900   1 8  value: 7
1650284900   0 9  skip 
1650284900   0 9  value: 9
1650284900   10 0  skip 
1650284900   10 0  value: 10
1650284900   9 1  skip 
1650284900   9 1  value: 8
1650284900   8 2  skip 
1650284900   8 2  value: 6
1650284900   7 3  skip 
1650284900   7 3  value: 5
1650284900   6 4  skip 
1650284900   6 4  value: 4
1650284900   5 5  skip 
1650284900   5 5  value: 5
1650284900   4 6  skip 
1650284900   4 6  value: 5
1650284900   3 7  skip 
1650284900   3 7  value: 6
1650284900   2 8  skip 
1650284900   2 8  value: 6
1650284900   1 9  skip 
1650284900   1 9  value: 8
1650284900   0 10  skip 
1650284900   0 10  value: 10
1650284900   11 0  skip 
1650284900   11 0  value: 11
1650284900   10 1  skip 
1650284900   10 1  value: 9
1650284900   9 2  skip 
1650284900   9 2  value: 7
1650284900   8 3  skip 
1650284900   8 3  value: 6
1650284900   7 4  skip 
1650284900   7 4  value: 5
1650284900   6 5  skip 
1650284900   6 5  value: 5
1650284900   5 6  skip 
1650284900   5 6  value: 6
1650284900   4 7  skip 
1650284900   4 7  value: 6
1650284900   3 8  skip 
1650284900   3 8  value: 6
1650284900   2 9  skip 
1650284900   2 9  value: 7
1650284900   1 10  skip 
1650284900   1 10  value: 9
1650284900   0 11  skip 
1650284900   0 11  value: 11
1650284900   12 0  skip 
1650284900   12 0  value: 12
1650284900   11 1  skip 
1650284900   11 1  value: 10
1650284900   10 2  skip 
1650284900   10 2  value: 8
1650284900   9 3  skip 
1650284900   9 3  value: 7
1650284900   8 4  skip 
1650284900   8 4  value: 6
1650284900   7 5  skip 
1650284900   7 5  value: 5
1650284900   6 6  skip 
1650284900   6 6  value: 6
1650284900   5 7  skip 
1650284900   5 7  value: 6
1650284900   4 8  skip 
1650284900   4 8  value: 6
1650284900   3 9  skip 
1650284900   3 9  value: 7
1650284900   2 10  skip 
1650284900   2 10  value: 8
1650284900   1 11  skip 
1650284900   1 11  value: 10
1650284900   0 12  skip 
1650284900   0 12  value: 12
1650284900   13 0  skip 
1650284900   13 0  value: 13
1650284900   12 1  skip 
1650284900   12 1  value: 11
1650284900   11 2  skip 
1650284900   11 2  value: 9
1650284900   10 3  skip 
1650284900   10 3  value: 8
1650284900   9 4  skip 
1650284900   9 4  value: 7
1650284900   8 5  skip 
1650284900   8 5  value: 6
1650284900   7 6  skip 
1650284900   7 6  value: 6
1650284900   6 7  skip 
1650284900   6 7  value: 7
1650284900   5 8  skip 
1650284900   5 8  value: 7
1650284900   4 9  skip 
1650284900   4 9  value: 7
1650284900   3 10  skip 
1650284900   3 10  value: 8
1650284900   2 11  skip 
1650284900   2 11  value: 9
1650284900   1 12  skip 
1650284900   1 12  value: 11
1650284900   0 13  skip 
1650284900   0 13  value: 13
1650284900   14 0  skip 
1650284900   14 0  value: 14
1650284900   13 1  skip 
1650284900   13 1  value: 12
1650284900   12 2  skip 
1650284900   12 2  value: 10
1650284900   11 3  skip 
1650284900   11 3  value: 9
1650284900   10 4  skip 
1650284900   10 4  value: 8
1650284900   9 5  skip 
1650284900   9 5  value: 7
1650284900   8 6  skip 
1650284900   8 6  value: 6
1650284900   7 7  skip 
1650284900   7 7  value: 7
1650284900   6 8  skip 
1650284900   6 8  value: 7
1650284900   5 9  skip 
1650284900   5 9  value: 6
1650284900   4 10  skip 
1650284900   4 10  value: 8
1650284900   3 11  skip 
1650284900   3 11  value: 9
1650284900   2 12  skip 
1650284900   2 12  value: 10
1650284900   1 13  skip 
1650284900   1 13  value: 12
1650284900   0 14  skip 
1650284900   0 14  value: 14
1650284900   15 0  skip 
1650284900   15 0  value: 15
1650284900   14 1  skip 
1650284900   14 1  value: 13
1650284900   13 2  skip 
1650284900   13 2  value: 11
1650284900   12 3  skip 
1650284900   12 3  value: 10
1650284900   11 4  skip 
1650284900   11 4  value: 9
1650284900   10 5  skip 
1650284900   10 5  value: 8
1650284900   9 6  skip 
1650284900   9 6  value: 7
1650284900   8 7  skip 
1650284900   8 7  value: 7
1650284900   7 8  skip 
1650284900   7 8  value: 8
1650284900   6 9  skip 
1650284900   6 9  value: 7
