Databank for timer 10
n T H M E
10 2 0 0.00431061 -266450
20 2 0 0.00206757 -288682
30 2 0 0.00087738 -303210
40 2 0 -0.0038147 -325410
50 2 0 0.000511169 -332062
60 2 0 -0.00120544 -343050
70 2 0 -0.00193024 -347778
80 2 0 -0.00341034 -351246
90 2 0 -0.00271606 -355658
100 2 0 -0.00518036 -362610
110 2 0 -0.00673676 -365154
120 2 0 -0.00299072 -367050
130 2 0 -0.00372314 -369578
140 2 0 -0.00498962 -370758
150 2 0 -0.0036087 -373722
160 2 0 -0.00389099 -375358
170 2 0 -0.00338745 -377282
180 2 0 -0.00541687 -378634
190 2 0 -0.00650024 -379318
200 2 0 -0.00856018 -382330
210 2 0 -0.00865936 -382458
220 2 0 -0.0107117 -382214
230 2 0 -0.0115967 -383270
240 2 0 -0.0133514 -386282
250 2 0 -0.0155334 -386354
260 2 0 -0.0148544 -388650
270 2 0 -0.0140457 -388586
280 2 0 -0.0141983 -390270
290 2 0 -0.0170746 -392342
300 2 0 -0.0179367 -391746
310 2 0 -0.0200729 -393910
320 2 0 -0.024292 -394810
330 2 0 -0.0212784 -395858
340 2 0 -0.0184097 -396146
350 2 0 -0.0193405 -395882
360 2 0 -0.0207672 -396506
370 2 0 -0.0211868 -398642
380 2 0 -0.0203171 -396826
390 2 0 -0.020874 -398594
400 2 0 -0.0211487 -399366
410 2 0 -0.0202866 -400646
420 2 0 -0.0220642 -401666
430 2 0 -0.0218201 -401606
440 2 0 -0.0198364 -402330
450 2 0 -0.0187225 -402102
460 2 0 -0.0207367 -402658
